"word"	" definition"	" concepts"			
"defeated"	"beaten or overcome; not victorious"	"enemy"			
"defeated"	"disappointingly unsuccessful"	"Calais expectation attempt effort ambition teacher poet capture"			
"epic"	"very imposing or impressive; surpassing the ordinary (especially in size or scale)"	"epic voyage proportion sculpture heroic"			
"epic"	"constituting or having to do with or suggestive of a literary epic"	"epic tradition"			
"watchful"	"engaged in or accustomed to close observation"	"duty couple sentinel alert opportunity cop"			
"watchful"	"experiencing or accompanied by sleeplessness"	"lay sleepless night people Shakespeare"			
"exhausted"	"drained of energy or effectiveness; extremely tired; completely exhausted"	"limb worn-out sweaty horse trembling cattle shopping day"			
"exhausted"	"depleted of energy"	" force"	" or strength"	"food tobacco oil well soil source"	
"exhausted"	"drained physically"	"event strength day"			
"quiet"	"characterized by an absence or near absence of agitation or activity"	"year people life onlooker faction throng"			
"quiet"	"free of noise or uproar; or making little if any sound"	"audience room concert"			
"quiet"	"not showy or obtrusive"	"clothes taste"			
"quiet"	"in a softened tone"	"voice whisper trumpet reprimand"			
"quiet"	"(of a body of water) free from disturbance by heavy waves"	"ribbon blue lake sky sand lagoon crossing ripple water sea placid channel bay"			
"quiet"	"of the sun characterized by a low level of surface phenomena like sunspots e.g."				
"unconfined"	"not confined"				
"unconfined"	"free from confinement or physical restraint"				
"uneasy"	"lacking a sense of security or affording no ease or reassurance"	"silence head crown government coalition farmer group laugh health calm rain"			
"uneasy"	"lacking or not affording physical or mental rest"	"restless night sleep"			
"uneasy"	"causing or fraught with or showing anxiety"	"takeoff night glance result spent test mind moment"			
"uneasy"	"socially uncomfortable; unsure and constrained in manner"	"people ill stranger eddy party ease"			
"uneasy"	"relating to bodily unease that causes discomfort"				
"increasing"	"becoming greater or larger"	"price"			
"increasing"	"music"				
"bare"	"completely unclothed"	"body model waist bare"			
"bare"	"lacking in amplitude or quantity"	"harvest livelihood scanty diet bare"			
"bare"	"not having a protective covering"	"blade bare cable"			
"bare"	"lacking its natural or customary covering"	"foot hill bare"			
"bare"	"just barely adequate or within a lower limit"	"victory majority bare"			
"bare"	"apart from anything else; without additions or modifications"	"passage time fact truth bare idea"			
"bare"	"lacking a surface finish such as paint"	"furniture wood bare"			
"bare"	"providing no shelter or sustenance"	"land moon landscape surface Andes treeless bare region hill barren"			
"bare"	"having everything extraneous removed including contents"	"cupboard wall bare"			
"bare"	"lacking embellishment or ornamentation"	"hair style architecture concrete wall stark"			
"coloured"	"having color or a certain color; sometimes used in combination"	"paper head grain color crepe film"			
"coloured"	"favoring one person or side over another"	"account trial defendant decision"			
"coloured"	"(used of color) artificially produced; not natural"	"blonde"			
"coloured"	"having skin rich in melanin pigments"	"people Colored National Association Advancement People"			
"coarse"	"of textures that are rough to the touch or substances consisting of relatively large particles"	"weave coarse sand meal"			
"coarse"	"lacking refinement or cultivation or taste"	"soldier display manner taste behavior violence mind guy vulgar"			
"coarse"	"of low or inferior quality or value"	"population ye metal cloth Shakespeare"			
"inhospitable"	"unfavorable to life or growth"	"area mountain desert barren"			
"inhospitable"	"not hospitable"	"day greeting"			
"warm"	"having or producing a comfortable and agreeable degree of heat or imparting or maintaining heat"	"body room coat climate"			
"warm"	"psychologically warm; friendly and responsive"	"support greeting personality"			
"warm"	"(color) inducing the impression of warmth; used especially of reds and oranges and yellows"	"red orange yellow"			
"warm"	"having or displaying warmth or affection"	"nephew affectionate tender fond child glance embrace"			
"warm"	"freshly made or left"	"scent trail"			
"warm"	"easily aroused or excited"	"temper"			
"warm"	"characterized by strong enthusiasm"	"revolutionary ardent support"			
"warm"	"characterized by liveliness or excitement or disagreement"	"debate"			
"warm"	"uncomfortable because of possible danger or trouble"	"thing bookie"			
"warm"	"of a seeker; near to the object sought"	"hot trail warm"			
"proud"	"feeling self-respect or pleasure in something by which you measure your self-worth; or being a reason for pride"	"prince accomplishment proud parent country moment name"			
"proud"	"having or displaying great dignity or nobility"	"peak alpine ship pageant city"			
"adoptive"	"of parents and children; related by adoption"	"parent"			
"adoptive"	"acquired as your own by free choice"	"country state"			
"shared"	"have in common; held or experienced in common"	"interest bond nucleus valence electron"			
"shared"	"distributed in portions (often equal) on the basis of a plan or purpose"				
"fat"	"having an (over)abundance of flesh"				
"fat"	"having a relatively large diameter"	"rope"			
"fat"	"containing or composed of fat"	"tissue food"			
"fat"	"lucrative"	"fat job juicy contract"			
"fat"	"marked by great fruitfulness"	"soil land fertile vineyard farmland"			
"alert"	"engaged in or accustomed to close observation"	"duty couple sentinel alert opportunity cop"			
"alert"	"quick and energetic"	"gait chase park breeze pace rattling walk spanking rate merry"			
"alert"	"mentally perceptive and responsive"	"awake danger alert situation predicament mind problem reality"			
"robust"	"sturdy and strong in form"	" constitution"	" or construction"	"body perennial"	
"robust"	"marked by richness and fullness of flavor"	"port claret flavor coffee wine ruby"			
"robust"	"strong enough to withstand or overcome intellectual challenges or adversity"	"faith experiment result"			
"robust"	"rough and crude"	"tale"			
"charitable"	"relating to or characterized by charity"	"foundation"			
"charitable"	"full of love and generosity"	"trust"			
"charitable"	"showing or motivated by sympathy and understanding and generosity"	"opinion others criticism word mentor act"			
"unfortunate"	"not favored by fortune; marked or accompanied by or resulting in ill fortune"	"event night turn decision investment"			
"unfortunate"	"not auspicious; boding ill"				
"unfortunate"	"unsuitable or regrettable"	"speech choice word"			
"unqualified"	"not limited or restricted"	"denial"			
"unqualified"	"not meeting the proper standards and requirements and training"				
"unqualified"	"legally not qualified or sufficient"	"husband witness wife incompetent"			
"unqualified"	"having no right or entitlement"	"distinction"			
"ambitious"	"having a strong desire for success or achievement"				
"ambitious"	"requiring full use of your abilities or resources"	"mistake task schedule"			
"optimistic"	"expecting the best in this best of all possible worlds"	"mood plan view"			
"optimistic"	"expecting the best"	"outlook"			
"related"	"being connected either logically or causally or by shared characteristics"	"painting active ability activity interface art detergent formation"			
"related"	"connected by kinship"	" common origin"	" or marriage"		
"unrelated"	"lacking a logical or causal relation"				
"unrelated"	"not connected by kinship"				
"consistent"	"(sometimes followed by `with') in agreement or consistent or reliable"	"president course sense consistent time FDR responsibility fact conduct war testimony"			
"consistent"	"capable of being reproduced"	"result"			
"consistent"	"marked by an orderly"	" logical"	" and aesthetically consistent relation of parts"	"argument coherent"	
"consistent"	"the same throughout in structure or composition"	"consistent product coal"			
"reduced"	"made less in size or amount or degree"				
"reduced"	"well below normal (especially in price)"				
"uniform"	"always the same; showing a single form or character in all occurrences"	"street building"			
"uniform"	"the same throughout in structure or composition"	"consistent product coal"			
"uniform"	"not differentiated"				
"uniform"	"evenly spaced"	"uniform interval"			
"suppressed"	"kept from public knowledge by various means; "				
"suppressed"	"manifesting or subjected to suppression"	"press"			
"suppressed"	"held in check with difficulty"	"cough yawn scream laughter"			
"generous"	"willing to give and share unstintingly"	"donation"			
"generous"	"not petty in character and mind"	"judgment people"			
"generous"	"more than adequate"	"portion"			
"perceptive"	"of or relating to perception"	"faculty"			
"perceptive"	"having the ability to perceive or understand; keen in discernment"	"observation eye"			
"discreet"	"marked by prudence or modesty and wise self-restraint"	"discreet aide necklace gold"			
"discreet"	"unobtrusively perceptive and sympathetic"	"discreet editor silence discerning"			
"discreet"	"heedful of potential consequences"	"physician action discreet use investor"			
"careless"	"marked by lack of attention or consideration or forethought or thoroughness; not careful"	"housekeeper careless clothes remark person proofreading mistake"			
"careless"	"effortless and unstudied"	"elegance grace careless impression"			
"careless"	"(usually followed by `of') without due thought or consideration"	"bloom consequence careless tread"			
"tense"	"in or of a state of physical or nervous tension"				
"tense"	"pronounced with relatively tense tongue muscles (e.g."	" the vowel sound in `beat')"			
"tense"	"taut or rigid; stretched tight"	"piano string"			
"dim"	"lacking in light; not bright or harsh"	"light dim music bed"			
"dim"	"lacking clarity or distinctness"	"faint figure gloom outline wispy childhood building shadowy recollection memory fog distance"			
"dim"	"made dim or less bright"	"hush anticipation houselights light headlight"			
"dim"	"offering little or no hope"	"future Aran view Islands thing prospect Life J.M.Synge"			
"dim"	"slow to learn or understand; lacking intellectual acuity"	"mathematics anything Thackeray decision dull student dense official learning anyone"			
"fearful"	"experiencing or showing fear"	"criticism fearful glance"			
"fearful"	"causing fear or dread or terror"	"polio howling headmaster news dire career risk presence disease curse storm London explosion war vengeance city"			
"fearful"	"lacking courage; ignobly timid and faint-hearted"	"ye P.B.Shelley dog"			
"fearful"	"extremely distressing"	"mistake slum condition"			
"fearful"	"timid by nature or revealing timidity"	"tone dog glance cast mouse"			
"wise"	"having or prompted by wisdom or discernment"	"comment leader wise"			
"wise"	"marked by the exercise of good judgment or common sense in practical matters"	"use money wise decision"			
"wise"	"evidencing the possession of inside information"				
"wise"	"improperly forward or bold"	"stranger child grownup impertinent boy"			
"nervous"	"easily agitated"	"addict thoroughbred"			
"nervous"	"causing or fraught with or showing anxiety"	"takeoff night glance result spent test mind moment"			
"nervous"	"of or relating to the nervous system"	"disorder disease"			
"nervous"	"excited in anticipation"				
"nervous"	"unpredictably excitable (especially of horses)"				
"ugly"	"displeasing to the senses"	"face furniture"			
"ugly"	"inclined to anger or bad feelings with overtones of menace"	"frame mind waiter"			
"ugly"	"morally reprehensible"	"something murder slavery crime liar development vile"			
"ugly"	"provoking horror"	"automobile decapitation alarming picture Churchill accident word crime wound war Winston"			
"delicate"	"exquisitely fine and subtle and pleasing; susceptible to injury"	"passage flavor china butterfly violin wing"			
"delicate"	"marked by great skill especially in meticulous technique"	"delicate surgeon touch"			
"delicate"	"easily broken or damaged or destroyed"	"craft fragile frail porcelain plate kite bone"			
"delicate"	"easily hurt"	"delicate skin hand baby"			
"delicate"	"developed with extreme delicacy and subtlety"	"satire pretense ridicule touch kind"			
"delicate"	"difficult to handle; requiring great tact"	"hesitates matter power subject negotiation touchy"			
"delicate"	"of an instrument or device; capable of registering minute differences or changes precisely"	"instrument"			
"neanderthal"	"ill-mannered and coarse and contemptible in behavior or appearance"	"manner multitude husband contempt bully"			
"neanderthal"	"relating to or belonging to or resembling Neanderthal man"	"skull Neanderthal"			
"calm"	"not agitated; without losing self-possession"	"face tranquil turbulence life voice uproar country expression spoke midst calm"			
"calm"	"(of weather) free from storm or wind"	"sea calm"			
"graceful"	"characterized by beauty of movement"	" style"	" form"	" or execution"	
"graceful"	"suggesting taste"	" ease"	" and wealth"		
"brave"	"possessing or displaying courage; able to face and deal with danger or fear without flinching"	"Herman braver pain territory heart danger man Wordsworth example Melville Familiarity William"			
"brave"	"invulnerable to fear or intimidation"	"pioneer photographer reporter explorer fearless"			
"brave"	"brightly colored and showy"	"year bit bird brave dress girl banner word plumage `braw"			
"charged"	"of a particle or body or system; having a net amount of positive or negative electric charge"	"battery particle"			
"charged"	"fraught with great emotion"	"excitement speech atmosphere"			
"charged"	"supplied with carbon dioxide"				
"charged"	"capable of producing violent emotion or arousing controversy"	"abortion issue"			
"scalar"	"of or relating to a musical scale"	"guitar pattern"			
"scalar"	"of or relating to a directionless magnitude (such as mass or speed etc.) that is completely specified by its magnitude"	"quantity"			
"feathered"	"adorned with feathers or plumes"				
"feathered"	"having or covered with feathers"	"friend"			
"gradual"	"proceeding in small stages"	"price increase"			
"gradual"	"(of a topographical gradient) not steep or abrupt"	"slope"			
"glazed"	"(used of eyes) lacking liveliness"	"glassy eye boredom stare"			
"glazed"	"fitted or covered with glass"	"wall"			
"glazed"	"having a shiny surface or coating"	"doughnut fabric"			
"glazed"	"(of foods) covered with a shiny coating by applying e.g. beaten egg or a sugar or gelatin mixture"	"doughnut ham"			
"androgynous"	"relating to or exhibiting both female and male sex organs but with a predominantly female appearance"				
"androgynous"	"having both male and female characteristics"				
"veiled"	"having or as if having a veil or concealing cover"	"hat threat dancer insult"			
"veiled"	"muted or unclear"	"image sound"			
"winged"	"having wings or as if having wings of a specified kind; "	"Mercury foot"			
"winged"	"very fast; as if with wings"	"foot"			
"pointed"	"having a point"				
"pointed"	"direct and obvious in meaning or reference; often unpleasant"	"allusion critique direction look"			
